OBJECTID,Suburbs and Localities 2021 code,Suburbs and Localities 2021 name,Area in square kilometres,Uniform Resource Identifier,Usual Resident Population,IRSAD Score,IRSAD Rank within Australia,IRSAD Rank within Australia - Decile,IRSAD Rank within Australia - Percentile,IRSAD Rank within State or Territory,IRSAD Rank within State or Territory - Decile,IRSAD Rank within State or Territory - Percentile,IRSAD Minimum Score,IRSAD Maximum Score,IRSAD Per Cent of Usual Resident Population Without a Score,IRSD Score,IRSD Rank within Australia,IRSD Rank within Australia - Decile,IRSD Rank within Australia - Percentile,IRSD Rank within State or Territory,IRSD Rank within State or Territory - Decile,IRSD Rank within State or Territory - Percentile,IRSD Minimum Score,IRSD Maximum Score,IRSD Per Cent of Usual Resident Population Without a Score,IEO Score,IEO Rank within Australia,IEO Rank within Australia - Decile,IEO Rank within Australia - Percentile,IEO Rank within State or Territory,IEO Rank within State or Territory - Decile,IEO Rank within State or Territory - Percentile,IEO Minimum Score,IEO Maximum Score,IEO Per Cent of Usual Resident Population Without a Score,IER Score,IER Rank within Australia,IER Rank within Australia - Decile,IER Rank within Australia - Percentile,IER Rank within State or Territory,IER Rank within State or Territory - Decile,IER Rank within State or Territory - Percentile,IER Minimum Score,IER Maximum Score,IER Per Cent of Usual Resident Population Without a Score,Suburbs and Localities (SAL) Aggregation Quality Flag,globalid,Shape__Area,Shape__Length
1,10001,Aarons Pass,82.7639,https://linked.data.gov.au/dataset/asgsed3/SAL/10001,33,881.7936814,1244,1,9,271,1,7,881.7936814,881.7936814,0,885.173643,999,1,7,228,1,6,885.173643,885.173643,0,933.9652927,4039,3,28,1011,3,24,933.9652927,933.9652927,0,933.1936863,1583,2,11,368,1,9,933.1936863,933.1936863,0,1,e729c003-cb28-402a-b21f-fde52ef3b182,0.007974707,0.554240936
2,10002,Abbotsbury,4.9788,https://linked.data.gov.au/dataset/asgsed3/SAL/10002,4200,1060.161482,12522,9,87,3481,9,81,1037.754701,1094.523721,0,1047.136105,10145,8,71,2853,7,67,1000.638257,1108.484806,0,1028.051229,10736,8,75,2978,7,69,966.8688797,1062.667251,0,1118.264611,13799,10,96,3941,10,92,1086.510208,1150.555416,0,,2def9ed1-6b48-4546-999c-3e67571b3878,0.000485102,0.123050592
3,10003,Abbotsford (NSW),1.018,https://linked.data.gov.au/dataset/asgsed3/SAL/10003,5431,1108.085415,13876,10,96,3999,10,93,977.8967835,1187.712703,0,1062.494934,11618,9,81,3281,8,77,876.7843863,1113.5478,0,1120.994652,13946,10,97,4087,10,95,1058.228415,1175.860023,0,1013.120725,6195,5,43,1652,4,39,835.6232201,1114.959802,0,,e3e47613-e7e6-433f-954c-343b05d59f97,9.91575070656836E-05,0.053422864
4,10004,Abercrombie,2.9775,https://linked.data.gov.au/dataset/asgsed3/SAL/10004,1127,1039.382393,11386,8,79,3147,8,73,1002.486682,1074.46783,0,1074.541589,12609,9,88,3574,9,83,1050.718381,1096.267254,0,1005.631229,9173,7,64,2455,6,57,970.9314258,1032.743656,0,1086.779111,12471,9,87,3426,8,80,1033.628818,1144.178099,0,,395a32f0-2615-4c90-8ccd-cae2281b83ce,0.000288549,0.097338224
5,10005,Abercrombie River,127.1701,https://linked.data.gov.au/dataset/asgsed3/SAL/10005,21,998.1850646,8194,6,57,2164,6,51,998.1850646,998.1850646,0,1014.285395,7161,5,50,2000,5,47,1014.285395,1014.285395,0,1000.553656,8800,7,61,2297,6,54,1000.553656,1000.553656,0,1019.9702,6744,5,47,1806,5,42,1019.9702,1019.9702,0,1,aa706489-0b3d-4bac-8cb4-b990c260bcc9,0.012397007,0.848902596
6,10006,Aberdare,3.2961,https://linked.data.gov.au/dataset/asgsed3/SAL/10006,2542,852.4991823,635,1,5,111,1,3,820.2317591,972.8065945,0,883.7474286,979,1,7,220,1,6,857.6560616,1030.992497,0,831.0318599,342,1,3,68,1,2,805.2389435,907.1901104,0,925.1313104,1370,1,10,296,1,7,909.2786622,1035.789891,0,,956b326c-fa44-4582-9799-87bdd9a52590,0.000317463,0.097289693
7,10007,Aberdeen (NSW),41.6327,https://linked.data.gov.au/dataset/asgsed3/SAL/10007,2051,900.5411178,1777,2,13,421,1,10,852.4790181,1023.420733,0,947.1669359,2651,2,19,719,2,17,886.9047018,1052.69255,0,848.1010472,555,1,4,108,1,3,810.5939374,1001.757845,0,987.6831423,4260,3,30,1116,3,26,922.2248438,1056.259609,0,,bf6c753a-0861-480e-abfa-c5d2198d3839,0.003980744,0.444264871
8,10008,Aberfoyle,340.4792,https://linked.data.gov.au/dataset/asgsed3/SAL/10008,121,1037.266812,11215,8,78,3098,8,72,1037.266812,1037.266812,0,1073.799452,12553,9,87,3553,9,83,1073.799452,1073.799452,0,1041.991713,11475,8,80,3254,8,76,1041.991713,1041.991713,0,1071.478688,11243,8,78,3044,8,71,1071.478688,1071.478688,0,1,37f44a8b-a132-4f72-b251-4c69327bffba,0.031907881,1.30738835
9,10009,Aberglasslyn,6.2154,https://linked.data.gov.au/dataset/asgsed3/SAL/10009,6552,981.6006026,6779,5,47,1799,5,42,943.560332,1011.800837,0,1016.790499,7394,6,52,2076,5,49,982.1219859,1066.856781,0,932.1177078,3904,3,27,989,3,23,897.2966157,975.6624173,0,1057.70879,10120,7,70,2715,7,63,1024.623311,1120.223627,0,,318dccab-45fa-4325-97ae-bd3eb3cad36f,0.000597635,0.119584529
10,10010,Abermain,15.3822,https://linked.data.gov.au/dataset/asgsed3/SAL/10010,2544,883.4776797,1286,1,9,280,1,7,828.2096063,990.0348495,0.00117925,923.1041647,1765,2,13,443,2,11,851.2145419,1027.555198,0.00117925,841.6703451,475,1,4,91,1,3,809.8000132,924.7982703,0.00117925,975.0594505,3424,3,24,882,3,21,914.7127348,1093.320771,0.00117925,,1bcba1e5-a82f-45d3-8cc1-8cfd39f9f8eb,0.001481177,0.228436427
11,10011,Abernethy,8.4025,https://linked.data.gov.au/dataset/asgsed3/SAL/10011,317,938.9460103,3528,3,25,925,3,22,924.1725958,997.7121787,0,993.4569828,5492,4,38,1516,4,36,981.5074394,1040.990265,0,871.3690932,1058,1,8,221,1,6,860.924058,912.9176938,0,1059.433686,10284,8,72,2778,7,65,1042.524182,1126.69686,0,,556db4f7-962b-43ca-ac93-1489afcc5d8d,0.000809696,0.158941824
12,10012,Abington (NSW),174.3142,https://linked.data.gov.au/dataset/asgsed3/SAL/10012,29,1042.844136,11633,9,81,3212,8,75,1042.844136,1042.844136,0,1069.817794,12255,9,85,3449,9,81,1069.817794,1069.817794,0,1076.615416,13005,9,90,3773,9,88,1076.615416,1076.615416,0,1061.615987,10419,8,73,2814,7,66,1061.615987,1061.615987,0,1,f4d4e205-0c2f-4ae5-b0fb-50c30d50e09d,0.016349143,0.776545494
13,10013,Acacia Creek,6.261,https://linked.data.gov.au/dataset/asgsed3/SAL/10013,30,936.3750445,3369,3,24,868,3,21,936.3750445,936.3750445,0,955.3807184,2996,3,21,827,2,20,955.3807184,955.3807184,0,967.1945662,6393,5,45,1585,4,37,967.1945662,967.1945662,0,963.9721854,2855,2,20,709,2,17,963.9721854,963.9721854,0,1,c4b3b7cd-9c65-48bd-ad88-3cb78a93f92b,0.000576368,0.128626376
14,10014,Acacia Gardens,1.0013,https://linked.data.gov.au/dataset/asgsed3/SAL/10014,3668,1095.792007,13697,10,95,3923,10,91,1014.423004,1129.335118,0,1080.015242,12951,9,90,3687,9,86,1020.64219,1109.703298,0,1054.028843,12140,9,84,3475,9,81,997.4100632,1088.370872,0,1111.477516,13588,10,94,3840,9,90,1041.977812,1169.958881,0,,af5a0ea7-18ab-4797-b154-27ddbcafb1b7,9.74072645476554E-05,0.04455785
15,10015,Adaminaby,356.4961,https://linked.data.gov.au/dataset/asgsed3/SAL/10015,339,955.1927188,4666,4,33,1212,3,29,934.4188184,1021.32835,0,978.4566738,4324,3,30,1186,3,28,962.1564022,1030.350094,0,931.4293006,3844,3,27,977,3,23,908.8880961,1003.191307,0,989.4643893,4363,4,31,1145,3,27,968.9526267,1054.76548,0,,efaae632-7c1c-43ea-857c-a2a9fa51be06,0.035639019,1.239202053
16,10016,Adamstown,3.051,https://linked.data.gov.au/dataset/asgsed3/SAL/10016,6335,1035.367123,11090,8,77,3060,8,71,980.3641479,1141.614229,0.00142068,1037.013967,9213,7,64,2584,6,60,970.8339977,1148.46678,0.00142068,1041.962869,11469,8,80,3253,8,76,1000.951073,1118.898725,0.00142068,984.3804738,4022,3,28,1057,3,25,899.6341714,1181.896702,0.00142068,,e64d4862-6df1-47ce-98b4-cced3d72aa7c,0.000294192,0.104067942
17,10017,Adamstown Heights,2.394,https://linked.data.gov.au/dataset/asgsed3/SAL/10017,5621,1083.75325,13421,10,93,3821,9,89,1059.466916,1116.540531,0,1090.886435,13543,10,94,3911,10,91,1058.30786,1115.11282,0,1072.949253,12895,9,89,3744,9,87,1043.835196,1104.755813,0,1076.373296,11686,9,81,3192,8,75,1027.485584,1117.435112,0,,db1361d6-e0a3-4f85-902c-b9b1df2dd934,0.000230823,0.098500515
18,10018,Adelong,20.2697,https://linked.data.gov.au/dataset/asgsed3/SAL/10018,938,907.9995817,2001,2,14,488,2,12,885.9754451,957.7731194,0,943.1319245,2481,2,18,649,2,16,909.4977478,996.6637691,0,890.138031,1665,2,12,361,1,9,878.7763904,951.1995649,0,969.1015397,3123,3,22,786,2,19,924.5692668,1038.699548,0,,acba4d65-0330-47e9-9002-bdff322a6b6f,0.002008857,0.284672879
19,10019,Adjungbilly,438.1006,https://linked.data.gov.au/dataset/asgsed3/SAL/10019,101,1052.098531,12169,9,85,3374,8,79,1052.098531,1052.098531,0,1055.482116,10971,8,76,3091,8,72,1055.482116,1055.482116,0,1065.758137,12614,9,88,3632,9,85,1065.758137,1065.758137,0,1075.757359,11642,9,81,3177,8,74,1075.757359,1075.757359,0,1,1144dc6f-cb9f-4fd1-8595-168f72599acc,0.043279836,1.524567624
20,10020,Afterlee,34.7839,https://linked.data.gov.au/dataset/asgsed3/SAL/10020,32,963.2889659,5276,4,37,1373,4,32,963.2889659,963.2889659,0,994.7416971,5599,4,39,1547,4,36,994.7416971,994.7416971,0,975.5481462,6979,5,49,1753,5,41,975.5481462,975.5481462,0,992.4412035,4545,4,32,1203,3,28,992.4412035,992.4412035,0,1,d7be86e1-3f50-4efe-96a0-aaf0a0c157c5,0.003207933,0.349518197
21,10021,Agnes Banks,15.475,https://linked.data.gov.au/dataset/asgsed3/SAL/10021,996,1045.194147,11791,9,82,3250,8,76,1015.760985,1051.055506,0,1053.002998,10724,8,75,3018,7,70,972.6953495,1062.498901,0,980.7141622,7313,6,51,1876,5,44,975.1362661,1031.045761,0,1110.387439,13540,10,94,3819,9,89,1023.231818,1126.231765,0,,1186bf5f-da41-46ae-9e80-0d6144c93e9a,0.001503595,0.215383489
22,10022,Airds,2.3806,https://linked.data.gov.au/dataset/asgsed3/SAL/10022,3265,741.1870949,140,1,1,6,1,1,546.2911666,868.814961,0,663.327664,166,1,2,8,1,1,414.0427772,807.3180901,0,828.951039,326,1,3,62,1,2,662.5497604,932.6085785,0,756.193111,214,1,2,10,1,1,611.0911506,892.3578252,0,,721232c9-18d7-442c-9092-50fb9e598622,0.000232558,0.07189198
23,10023,Akolele,5.9502,https://linked.data.gov.au/dataset/asgsed3/SAL/10023,165,874.690565,1081,1,8,205,1,5,835.1251853,939.7022273,0,859.6578994,670,1,5,136,1,4,782.3628612,986.6648674,0,921.2575491,3213,3,23,786,2,19,907.9356601,943.1473466,0,844.5754142,392,1,3,52,1,2,764.0873689,976.8289565,0,,2b3ea36b-ffa8-4009-8166-6938dfea300d,0.000597357,0.157055956
24,10024,Albert,690.5799,https://linked.data.gov.au/dataset/asgsed3/SAL/10024,77,1079.809795,13294,10,92,3769,9,88,1017.44218,1079.809795,0,1080.005477,12950,9,90,3686,9,86,1006.672257,1080.005477,0,1129.895271,14060,10,97,4124,10,96,1068.519552,1129.895271,0,1094.549835,12895,9,90,3569,9,83,1068.260071,1094.549835,0,1,a297e82e-dcdb-48bb-a1fb-1ee6d1e52f81,0.066181136,1.512223658
25,10025,Albion Park,9.0983,https://linked.data.gov.au/dataset/asgsed3/SAL/10025,13826,980.4075452,6681,5,47,1784,5,42,887.0691378,1063.219888,0,1017.969226,7498,6,52,2110,5,49,916.7942651,1095.969527,0,929.5898623,3707,3,26,942,3,22,864.0606341,995.9416094,0,1057.277229,10075,7,70,2703,7,63,932.8907103,1142.074336,0,,545a5513-d20d-4127-ac78-1eae891c2e24,0.000893883,0.15624728
26,10026,Albion Park Rail,7.1632,https://linked.data.gov.au/dataset/asgsed3/SAL/10026,6920,899.858524,1747,2,13,408,1,10,792.181642,965.8136304,0.00057804,930.6715401,2038,2,15,519,2,13,779.0165147,991.0746823,0.00057804,872.4234697,1079,1,8,227,1,6,823.7496554,953.4645426,0.00057804,967.9608903,3065,3,22,775,2,18,844.3446956,1051.46326,0.00057804,,38e67490-dfc9-436c-95c1-4054b56d609b,0.000703596,0.203199595
27,10027,Albury,5.6834,https://linked.data.gov.au/dataset/asgsed3/SAL/10027,4955,1025.094167,10382,8,72,2839,7,66,938.9447178,1081.667316,0.00080727,1028.273309,8399,6,59,2325,6,54,917.944524,1103.085172,0.00080727,1049.302154,11859,9,82,3379,8,79,1008.680965,1090.755773,0.00080727,958.1796637,2555,2,18,618,2,15,834.8256703,1056.571023,0.00080727,,6bd37b52-24ce-4210-8857-5b8f83ca26b2,0.000568645,0.120973086
28,10028,Aldavilla,15.0762,https://linked.data.gov.au/dataset/asgsed3/SAL/10028,1443,915.1487031,2317,2,17,576,2,14,895.9911365,926.8637619,0.53361053,962.5211244,3359,3,24,942,3,22,947.78642,971.5315552,0.53361053,889.9132201,1661,2,12,360,1,9,853.3526524,912.2704017,0.53361053,1013.008215,6185,5,43,1649,4,39,1003.809134,1018.633552,0.53361053,,663031dd-9e9c-49a2-a4c4-1f29fb080e03,0.00142492,0.211869757
29,10029,Alectown,277.1442,https://linked.data.gov.au/dataset/asgsed3/SAL/10029,151,1023.243924,10231,8,71,2783,7,65,1023.243924,1023.243924,0,1041.548802,9654,7,67,2700,7,63,1041.548802,1041.548802,0,1028.912019,10792,8,75,2998,7,70,1028.912019,1028.912019,0,1058.159164,10155,8,71,2733,7,64,1058.159164,1058.159164,0,,ed8b7e47-669c-4557-9316-944da0f3d4c3,0.026714676,0.841668984
30,10030,Alexandria,3.537,https://linked.data.gov.au/dataset/asgsed3/SAL/10030,9649,1174.195547,14416,10,100,4271,10,100,1121.046413,1203.399552,0.00093274,1104.008521,14007,10,97,4084,10,95,1050.650967,1150.668043,0.00093274,1180.943227,14415,10,100,4258,10,99,1148.793886,1268.774454,0.00093274,988.0282195,4281,3,30,1121,3,26,881.1605746,1076.245156,0.00093274,,feb7130b-2b09-459b-b6dd-b87a696fb595,0.000344776,0.102839045
31,10031,Alfords Point,2.5665,https://linked.data.gov.au/dataset/asgsed3/SAL/10031,3131,1111.269011,13930,10,97,4019,10,94,1071.706688,1141.258891,0.00191632,1097.699329,13824,10,96,4019,10,94,1027.028404,1119.395501,0.00191632,1065.957341,12618,9,88,3635,9,85,1020.937262,1102.07836,0.00191632,1156.203504,14334,10,100,4231,10,99,1112.902707,1187.490395,0.00191632,,a05015c7-2afe-47ee-b3f2-ddefdbe4e9d0,0.000250412,0.082786871
32,10032,Alfredtown,75.0792,https://linked.data.gov.au/dataset/asgsed3/SAL/10032,80,1034.498014,11010,8,77,3035,8,71,1034.498014,1034.498014,0,1073.233587,12511,9,87,3538,9,83,1073.233587,1073.233587,0,994.1646064,8345,6,58,2156,5,50,994.1646064,994.1646064,0,1101.999892,13215,10,92,3691,9,86,1101.999892,1101.999892,0,1,c28e7bd2-b72f-4ca8-9952-f468516c62fb,0.00742703,0.557529201
33,10033,Alice,13.2753,https://linked.data.gov.au/dataset/asgsed3/SAL/10033,4,900.5306161,1771,2,13,415,1,10,900.5306161,900.5306161,0,870.2996739,787,1,6,164,1,4,870.2996739,870.2996739,0,946.6868556,4912,4,34,1226,3,29,946.6868556,946.6868556,0,940.1051151,1853,2,13,447,2,11,940.1051151,940.1051151,0,1,b21c0676-7f56-4319-8754-d8694680dad8,0.001229846,0.150280241
34,10034,Alison (Central Coast - NSW),1.3958,https://linked.data.gov.au/dataset/asgsed3/SAL/10034,85,1059.209132,12487,9,87,3472,9,81,1059.209132,1059.209132,0,1041.864769,9685,7,67,2715,7,63,1041.864769,1041.864769,0,1022.539784,10416,8,72,2862,7,67,1022.539784,1022.539784,0,1124.203609,13925,10,97,4011,10,93,1124.203609,1124.203609,0,1,38dd102f-f793-44fa-9bc3-3a354f3696df,0.000135073,0.073143228
35,10035,Alison (Dungog - NSW),19.2707,https://linked.data.gov.au/dataset/asgsed3/SAL/10035,99,1021.17662,10067,7,70,2722,7,64,1021.17662,1021.17662,0,1015.846315,7312,6,51,2055,5,48,1015.846315,1015.846315,0,1048.559208,11822,9,82,3364,8,78,1048.559208,1048.559208,0,1047.146661,9193,7,64,2483,6,58,1047.146661,1047.146661,0,1,efb2d2b4-ccd7-43ed-8f5a-acb316724511,0.001847673,0.361485793
36,10036,Allambie Heights,6.6746,https://linked.data.gov.au/dataset/asgsed3/SAL/10036,7317,1127.238212,14128,10,98,4104,10,96,882.9990366,1218.567788,0,1088.920805,13443,10,93,3875,9,90,819.1796584,1152.207699,0,1102.334145,13633,10,95,3983,10,93,1013.434256,1184.769863,0,1123.908081,13921,10,97,4009,10,93,769.2308708,1221.92772,0,,13721f2e-dc7a-4fa2-8039-9540de8b6a8d,0.000649608,0.130941447
37,10037,Allandale (NSW),10.4827,https://linked.data.gov.au/dataset/asgsed3/SAL/10037,68,1007.691312,9012,7,63,2368,6,55,1007.691312,1007.691312,0,1029.240664,8521,6,59,2362,6,55,1029.240664,1029.240664,0,947.3200754,4946,4,35,1242,3,29,947.3200754,947.3200754,0,1061.852944,10448,8,73,2821,7,66,1061.852944,1061.852944,0,1,67263fa4-08f4-4108-bb08-a3843935cd3f,0.001008365,0.195961454
38,10038,Allawah,0.5837,https://linked.data.gov.au/dataset/asgsed3/SAL/10038,5351,1013.412088,9423,7,66,2509,6,59,964.1442721,1076.979081,0,981.6824145,4560,4,32,1241,3,29,928.4367299,1036.486679,0,1045.903216,11685,9,81,3321,8,77,1001.423816,1097.222957,0,935.3810154,1677,2,12,403,1,10,856.1848351,1081.943234,0,,21be1898-cec7-43aa-af0c-1ff4e4806dde,5.69672042729508E-05,0.039858844
39,10039,Alleena,269.6334,https://linked.data.gov.au/dataset/asgsed3/SAL/10039,60,1031.062508,10778,8,75,2966,7,69,1031.062508,1031.062508,0,1050.212361,10437,8,73,2939,7,69,1050.212361,1050.212361,0,1031.51813,10960,8,76,3065,8,71,1031.51813,1031.51813,0,1045.817004,9087,7,63,2457,6,57,1045.817004,1045.817004,0,1,da977d5e-af51-455c-8b7c-5c9dee9a5ab4,0.026340663,0.837926172
40,10040,Allgomera,120.3883,https://linked.data.gov.au/dataset/asgsed3/SAL/10040,139,950.3329857,4290,3,30,1113,3,26,950.3329857,950.3329857,0,1001.032107,6058,5,42,1679,4,39,1001.032107,1001.032107,0,936.9865587,4239,3,30,1060,3,25,936.9865587,936.9865587,0,1039.845491,8613,6,60,2338,6,55,1039.845491,1039.845491,0,,2c3d3536-1fce-45b3-8819-9743a39bfb1c,0.011348567,0.601185867
41,10041,Allworth,18.2505,https://linked.data.gov.au/dataset/asgsed3/SAL/10041,190,873.4832034,1043,1,8,203,1,5,873.4832034,873.4832034,0,923.8216478,1786,2,13,446,2,11,923.8216478,923.8216478,0,799.1494037,125,1,1,13,1,1,799.1494037,799.1494037,0,976.8981731,3534,3,25,922,3,22,976.8981731,976.8981731,0,,6979a4ae-185d-496b-9284-f44a69624df1,0.001752024,0.235139213
42,10042,Allynbrook,34.1815,https://linked.data.gov.au/dataset/asgsed3/SAL/10042,54,967.7776051,5655,4,40,1485,4,35,967.7776051,967.7776051,0,996.4111749,5732,4,40,1602,4,38,996.4111749,996.4111749,0,1009.852903,9461,7,66,2539,6,59,1009.852903,1009.852903,0,1001.853136,5278,4,37,1397,4,33,1001.853136,1001.853136,0,1,4a23564e-c31d-4cdd-b531-5c1f2c8de7f4,0.003274575,0.32677322
43,10043,Alma Park,87.6845,https://linked.data.gov.au/dataset/asgsed3/SAL/10043,58,987.806837,7330,6,51,1921,5,45,987.806837,987.806837,0,996.6620473,5743,4,40,1611,4,38,996.6620473,996.6620473,0,1019.242397,10188,8,71,2799,7,65,1019.242397,1019.242397,0,1028.559029,7546,6,53,2026,5,47,1028.559029,1028.559029,0,1,6f0bf372-01a8-45c5-94d1-3263ae85059f,0.008721415,0.538509115
44,10044,Alpine,23.0329,https://linked.data.gov.au/dataset/asgsed3/SAL/10044,141,1063.603099,12678,9,88,3542,9,83,1063.603099,1063.603099,0,1078.216995,12824,9,89,3648,9,85,1078.216995,1078.216995,0,1020.738317,10291,8,71,2830,7,66,1020.738317,1020.738317,0,1129.649669,14027,10,97,4066,10,95,1129.649669,1129.649669,0,1,8ef1ff18-8fa3-44ee-b8dc-5d76d4e10cc6,0.00225837,0.252802429
45,10045,Alstonvale,10.2583,https://linked.data.gov.au/dataset/asgsed3/SAL/10045,431,1056.615302,12373,9,86,3447,8,80,1056.615302,1056.615302,0,1067.399243,12047,9,84,3401,8,79,1067.399243,1067.399243,0,1078.864569,13068,10,91,3786,9,88,1078.864569,1078.864569,0,1102.532663,13238,10,92,3707,9,86,1102.532663,1102.532663,0,,1d9292fa-5695-4c27-9677-0b94f344d2d4,0.000948024,0.166768856
46,10046,Alstonville,28.8249,https://linked.data.gov.au/dataset/asgsed3/SAL/10046,5912,978.6674938,6563,5,46,1758,5,41,921.9110171,1087.478549,0,1006.134453,6460,5,45,1786,5,42,920.8077785,1088.722248,0,980.4163061,7295,6,51,1870,5,44,925.1535242,1055.910998,0,994.1365946,4658,4,33,1226,3,29,860.773084,1115.202393,0,,fbe70129-3f8d-4058-af16-1fea206a75c8,0.002665014,0.322458849
47,10047,Alumy Creek,9.0532,https://linked.data.gov.au/dataset/asgsed3/SAL/10047,86,1016.88867,9736,7,68,2607,7,61,1016.88867,1016.88867,0,1056.122918,11016,8,77,3101,8,72,1056.122918,1056.122918,0,984.1813122,7556,6,53,1943,5,45,984.1813122,984.1813122,0,1060.161629,10316,8,72,2783,7,65,1060.161629,1060.161629,0,1,75de600c-996f-461c-908e-a6b18d86cc06,0.000843473,0.119081128
48,10048,Amaroo (NSW),16.7796,https://linked.data.gov.au/dataset/asgsed3/SAL/10048,44,1039.301503,11383,8,79,3145,8,73,1039.301503,1039.301503,0,1058.984594,11291,8,79,3196,8,75,1058.984594,1058.984594,0,1018.181206,10094,7,70,2771,7,65,1018.181206,1018.181206,0,1090.981922,12734,9,89,3512,9,82,1090.981922,1090.981922,0,1,24cc6889-4b46-4571-a8d5-456ed8954e51,0.001621941,0.308884224
49,10049,Ambarvale,2.848,https://linked.data.gov.au/dataset/asgsed3/SAL/10049,7254,872.9093101,1026,1,8,197,1,5,595.3688909,982.9465214,0,872.2691886,819,1,6,179,1,5,523.989757,1013.047684,0,879.3685289,1303,1,9,277,1,7,700.8017267,963.7039092,0,915.4339788,1139,1,8,237,1,6,643.9867231,1022.584028,0,,91da9a39-e641-48ec-ac4a-32b11dae446e,0.000278189,0.080085009
50,10050,Amosfield,58.0841,https://linked.data.gov.au/dataset/asgsed3/SAL/10050,40,945.4831331,3965,3,28,1023,3,24,945.4831331,945.4831331,0,961.6544758,3296,3,23,919,3,22,961.6544758,961.6544758,0,1001.192524,8862,7,62,2315,6,54,1001.192524,1001.192524,0,976.1392811,3480,3,25,900,3,21,976.1392811,976.1392811,0,1,d0fa9004-d8f5-4091-a38c-492416e1dbaf,0.005359325,0.468678524
51,10051,Anabranch North,1661.3937,https://linked.data.gov.au/dataset/asgsed3/SAL/10051,6,991.8891078,7650,6,53,1988,5,47,991.8891078,991.8891078,0,993.7951968,5525,4,39,1523,4,36,993.7951968,993.7951968,0,1016.484769,9969,7,69,2723,7,64,1016.484769,1016.484769,0,1027.516187,7407,6,52,1983,5,47,1027.516187,1027.516187,0,1,76e85796-7167-4774-b2b0-3b6f8d74138a,0.160831516,2.260046226
52,10052,Anabranch South,2279.4634,https://linked.data.gov.au/dataset/asgsed3/SAL/10052,41,991.8891078,7651,6,53,1989,5,47,991.8891078,991.8891078,0,993.7951968,5523,4,39,1521,4,36,993.7951968,993.7951968,0,1016.484769,9967,7,69,2721,7,63,1016.484769,1016.484769,0,1027.516187,7408,6,52,1984,5,47,1027.516187,1027.516187,0,1,b5424463-f105-425f-865e-13b87a8655f6,0.221711606,2.838153373
53,10053,Anambah,11.5924,https://linked.data.gov.au/dataset/asgsed3/SAL/10053,64,1044.470805,11727,9,82,3243,8,76,1044.470805,1044.470805,0,1059.253115,11325,8,79,3201,8,75,1059.253115,1059.253115,0,1003.946288,9055,7,63,2400,6,56,1003.946288,1003.946288,0,1099.828404,13129,10,91,3650,9,85,1099.828404,1099.828404,0,1,e525c440-8ceb-4f01-b755-14569940b48c,0.001114531,0.170864555
54,10054,Ando,112.1626,https://linked.data.gov.au/dataset/asgsed3/SAL/10054,49,931.0252771,3079,3,22,790,2,19,931.0252771,931.0252771,0,946.4348597,2615,2,19,702,2,17,946.4348597,946.4348597,0,937.7962244,4287,3,30,1074,3,25,937.7962244,937.7962244,0,958.7969105,2588,2,18,625,2,15,958.7969105,958.7969105,0,1,ad48f529-eafd-4d7e-9f07-230a1577e76e,0.011315576,0.576121853
55,10055,Anembo,171.8203,https://linked.data.gov.au/dataset/asgsed3/SAL/10055,72,1025.855741,10430,8,73,2846,7,67,1025.855741,1025.855741,0,1033.433908,8846,7,62,2455,6,57,1033.433908,1033.433908,0,1014.401872,9817,7,68,2671,7,62,1014.401872,1014.401872,0,1037.620695,8387,6,58,2270,6,53,1037.620695,1037.620695,0,1,add5d00f-98ec-4aed-ab13-8c7f5ab22d0f,0.017126562,0.745909985
56,10056,Angledale,26.8133,https://linked.data.gov.au/dataset/asgsed3/SAL/10056,167,963.0911268,5254,4,37,1367,4,32,963.0911268,963.0911268,0,994.2758531,5567,4,39,1534,4,36,994.2758531,994.2758531,0,986.3906347,7752,6,54,2006,5,47,986.3906347,986.3906347,0,1011.181899,6028,5,42,1606,4,38,1011.181899,1011.181899,0,,323a5eba-e7c2-4a05-bf42-8aa1ec5adb41,0.002701653,0.290377925
57,10057,Angledool,689.3144,https://linked.data.gov.au/dataset/asgsed3/SAL/10057,34,1015.609102,9622,7,67,2585,6,60,983.2705075,1083.163612,0,1041.265102,9626,7,67,2690,7,63,1009.332546,1107.971411,0,1045.651744,11675,9,81,3318,8,77,1016.638872,1106.258906,0,1023.591717,7036,5,49,1878,5,44,991.0312496,1091.609714,0,1,ce789d72-9835-45d3-97d4-6f1b79cb8c8a,0.063900679,1.356269937
58,10058,Anglers Reach,11.1265,https://linked.data.gov.au/dataset/asgsed3/SAL/10058,78,1021.32835,10081,7,70,2734,7,64,1021.32835,1021.32835,0,1030.350094,8633,6,60,2395,6,56,1030.350094,1030.350094,0,1003.191307,8994,7,63,2363,6,55,1003.191307,1003.191307,0,1054.76548,9880,7,69,2664,7,62,1054.76548,1054.76548,0,1,bbaa4f80-ff7a-43e7-baa0-09c0ca1c1433,0.001112305,0.230042816
59,10059,Angourie,3.5357,https://linked.data.gov.au/dataset/asgsed3/SAL/10059,192,1051.784044,12154,9,85,3367,8,79,1051.784044,1051.784044,0,1082.423477,13139,10,91,3754,9,88,1082.423477,1082.423477,0,1018.351334,10114,7,70,2781,7,65,1018.351334,1018.351334,0,1072.168407,11304,8,79,3064,8,72,1072.168407,1072.168407,0,,5c5e5ede-6eca-4040-979c-e89a44b58fc0,0.000328867,0.128099927
